Frequency,dB
1000000000,1.43698463553888
1007820136.85239,1.34846010042953
1015640273.70479,1.2731966335291
1023460410.55718,1.26788503801818
1031280547.40958,1.2435006254084
1039100684.26197,1.27151193955401
1046920821.11437,1.34484435251718
1054740957.96676,1.41963475210061
1062561094.81916,1.42419645945029
1070381231.67155,1.48693269930742
1078201368.52395,1.50223623339748
1086021505.37634,1.52317502728038
1093841642.22874,1.5003105549638
1101661779.08113,1.43816876287943
1109481915.93353,1.3831050552185
1117302052.78592,1.32425594399679
1125122189.63832,1.29649962280875
1132942326.49071,1.31143216295357
1140762463.34311,1.3796873148233
1148582600.1955,1.42019313327039
1156402737.0479,1.48885897430544
1164222873.90029,1.58912336628096
1172043010.75269,1.65034533795155
1179863147.60508,1.66267625891735
1187683284.45748,1.62581123548235
1195503421.30987,1.53197380881513
1203323558.16227,1.47938746114114
1211143695.01466,1.41589808457194
1218963831.86706,1.42799697507657
1226783968.71945,1.4783704119338
1234604105.57185,1.60290689453103
1242424242.42424,1.67666389458977
1250244379.27664,1.87548639657701
1258064516.12903,1.93117219072482
1265884652.98143,1.91415352338377
1273704789.83382,1.86156825845921
1281524926.68621,1.75444687965421
1289345063.53861,1.7444982077962
1297165200.391,1.72747768768327
1304985337.2434,1.72522439098274
1312805474.09579,1.7896121595213
1320625610.94819,1.92943058614152
1328445747.80058,2.0891829867792
1336265884.65298,2.20650212651525
1344086021.50537,2.27307775132896
1351906158.35777,2.23820445381072
1359726295.21016,2.21851021669782
1367546432.06256,2.17732079568322
1375366568.91495,2.16888020993475
1383186705.76735,2.19063615282111
1391006842.61974,2.23691161688784
1398826979.47214,2.31786217867241
1406647116.32453,2.37017876372652
1414467253.17693,2.45836628825235
1422287390.02932,2.51645755617909
1430107526.88172,2.5752654628517
1437927663.73411,2.6610267232918
1445747800.58651,2.71662895927715
1453567937.4389,2.78126289365244
1461388074.2913,2.82176618749729
1469208211.14369,2.88551417631494
1477028347.99609,2.89993885057866
1484848484.84848,2.94123414113108
1492668621.70087,2.97077708847899
1500488758.55327,3.04718259154358
1508308895.40566,3.24266293896713
1516129032.25806,3.55064599430346
1523949169.11045,3.93522642770484
1531769305.96285,4.36748331945565
1539589442.81524,4.84669525966781
1547409579.66764,5.47762909138323
1555229716.52003,6.37076517244284
1563049853.37243,6.21442921713438
1570869990.22482,3.94590523390096
1578690127.07722,2.80570617909879
1586510263.92961,2.58332319985351
1594330400.78201,2.6200158646541
1602150537.6344,2.75514629429169
1609970674.4868,2.86743340747343
1617790811.33919,3.00523552459875
1625610948.19159,3.13829494534298
1633431085.04398,3.20939368342785
1641251221.89638,3.20899300859961
1649071358.74877,3.25309658796659
1656891495.60117,3.23198806891511
1664711632.45356,3.14966116494057
