x y z
-5.000000000000000000e+00 -5.000000000000000000e+00 5.000000000000000000e+01
-4.473684210526315930e+00 -5.000000000000000000e+00 4.501385041551246502e+01
-3.947368421052631859e+00 -5.000000000000000000e+00 4.058171745152354504e+01
-3.421052631578947345e+00 -5.000000000000000000e+00 3.670360110803324005e+01
-2.894736842105263275e+00 -5.000000000000000000e+00 3.337950138504155007e+01
-2.368421052631579204e+00 -5.000000000000000000e+00 3.060941828254847863e+01
-1.842105263157894690e+00 -5.000000000000000000e+00 2.839335180055401509e+01
-1.315789473684210620e+00 -5.000000000000000000e+00 2.673130193905817364e+01
-7.894736842105265495e-01 -5.000000000000000000e+00 2.562326869806094365e+01
-2.631578947368424792e-01 -5.000000000000000000e+00 2.506925207756232865e+01
2.631578947368415911e-01 -5.000000000000000000e+00 2.506925207756232510e+01
7.894736842105256613e-01 -5.000000000000000000e+00 2.562326869806094010e+01
1.315789473684210620e+00 -5.000000000000000000e+00 2.673130193905817364e+01
1.842105263157894690e+00 -5.000000000000000000e+00 2.839335180055401509e+01
2.368421052631578760e+00 -5.000000000000000000e+00 3.060941828254847508e+01
2.894736842105262831e+00 -5.000000000000000000e+00 3.337950138504155007e+01
3.421052631578946901e+00 -5.000000000000000000e+00 3.670360110803324005e+01
3.947368421052631859e+00 -5.000000000000000000e+00 4.058171745152354504e+01
4.473684210526315042e+00 -5.000000000000000000e+00 4.501385041551245791e+01
5.000000000000000000e+00 -5.000000000000000000e+00 5.000000000000000000e+01
-5.000000000000000000e+00 -4.473684210526315930e+00 4.501385041551246502e+01
-4.473684210526315930e+00 -4.473684210526315930e+00 4.002770083102493004e+01
-3.947368421052631859e+00 -4.473684210526315930e+00 3.559556786703601006e+01
-3.421052631578947345e+00 -4.473684210526315930e+00 3.171745152354570507e+01
-2.894736842105263275e+00 -4.473684210526315930e+00 2.839335180055401509e+01
-2.368421052631579204e+00 -4.473684210526315930e+00 2.562326869806094365e+01
-1.842105263157894690e+00 -4.473684210526315930e+00 2.340720221606648010e+01
-1.315789473684210620e+00 -4.473684210526315930e+00 2.174515235457063866e+01
-7.894736842105265495e-01 -4.473684210526315930e+00 2.063711911357340867e+01
-2.631578947368424792e-01 -4.473684210526315930e+00 2.008310249307479367e+01
2.631578947368415911e-01 -4.473684210526315930e+00 2.008310249307479012e+01
7.894736842105256613e-01 -4.473684210526315930e+00 2.063711911357340512e+01
1.315789473684210620e+00 -4.473684210526315930e+00 2.174515235457063866e+01
1.842105263157894690e+00 -4.473684210526315930e+00 2.340720221606648010e+01
2.368421052631578760e+00 -4.473684210526315930e+00 2.562326869806094010e+01
2.894736842105262831e+00 -4.473684210526315930e+00 2.839335180055401509e+01
3.421052631578946901e+00 -4.473684210526315930e+00 3.171745152354570507e+01
3.947368421052631859e+00 -4.473684210526315930e+00 3.559556786703601006e+01
4.473684210526315042e+00 -4.473684210526315930e+00 4.002770083102492293e+01
5.000000000000000000e+00 -4.473684210526315930e+00 4.501385041551246502e+01
-5.000000000000000000e+00 -3.947368421052631859e+00 4.058171745152354504e+01
-4.473684210526315930e+00 -3.947368421052631859e+00 3.559556786703601006e+01
-3.947368421052631859e+00 -3.947368421052631859e+00 3.116343490304709718e+01
-3.421052631578947345e+00 -3.947368421052631859e+00 2.728531855955678864e+01
-2.894736842105263275e+00 -3.947368421052631859e+00 2.396121883656510221e+01
-2.368421052631579204e+00 -3.947368421052631859e+00 2.119113573407202722e+01
-1.842105263157894690e+00 -3.947368421052631859e+00 1.897506925207756368e+01
-1.315789473684210620e+00 -3.947368421052631859e+00 1.731301939058172223e+01
-7.894736842105265495e-01 -3.947368421052631859e+00 1.620498614958449224e+01
-2.631578947368424792e-01 -3.947368421052631859e+00 1.565096952908587546e+01
2.631578947368415911e-01 -3.947368421052631859e+00 1.565096952908587546e+01
7.894736842105256613e-01 -3.947368421052631859e+00 1.620498614958448869e+01
1.315789473684210620e+00 -3.947368421052631859e+00 1.731301939058172223e+01
1.842105263157894690e+00 -3.947368421052631859e+00 1.897506925207756368e+01
2.368421052631578760e+00 -3.947368421052631859e+00 2.119113573407202367e+01
2.894736842105262831e+00 -3.947368421052631859e+00 2.396121883656509866e+01
3.421052631578946901e+00 -3.947368421052631859e+00 2.728531855955678509e+01
3.947368421052631859e+00 -3.947368421052631859e+00 3.116343490304709718e+01
4.473684210526315042e+00 -3.947368421052631859e+00 3.559556786703601006e+01
5.000000000000000000e+00 -3.947368421052631859e+00 4.058171745152354504e+01
-5.000000000000000000e+00 -3.421052631578947345e+00 3.670360110803324005e+01
-4.473684210526315930e+00 -3.421052631578947345e+00 3.171745152354570507e+01
-3.947368421052631859e+00 -3.421052631578947345e+00 2.728531855955678864e+01
-3.421052631578947345e+00 -3.421052631578947345e+00 2.340720221606648010e+01
-2.894736842105263275e+00 -3.421052631578947345e+00 2.008310249307479012e+01
-2.368421052631579204e+00 -3.421052631578947345e+00 1.731301939058171868e+01
-1.842105263157894690e+00 -3.421052631578947345e+00 1.509695290858725691e+01
-1.315789473684210620e+00 -3.421052631578947345e+00 1.343490304709141192e+01
-7.894736842105265495e-01 -3.421052631578947345e+00 1.232686980609418193e+01
-2.631578947368424792e-01 -3.421052631578947345e+00 1.177285318559556693e+01
2.631578947368415911e-01 -3.421052631578947345e+00 1.177285318559556693e+01
7.894736842105256613e-01 -3.421052631578947345e+00 1.232686980609418015e+01
1.315789473684210620e+00 -3.421052631578947345e+00 1.343490304709141192e+01
1.842105263157894690e+00 -3.421052631578947345e+00 1.509695290858725691e+01
2.368421052631578760e+00 -3.421052631578947345e+00 1.731301939058171513e+01
2.894736842105262831e+00 -3.421052631578947345e+00 2.008310249307479012e+01
3.421052631578946901e+00 -3.421052631578947345e+00 2.340720221606648010e+01
3.947368421052631859e+00 -3.421052631578947345e+00 2.728531855955678864e+01
4.473684210526315042e+00 -3.421052631578947345e+00 3.171745152354569797e+01
5.000000000000000000e+00 -3.421052631578947345e+00 3.670360110803324005e+01
-5.000000000000000000e+00 -2.894736842105263275e+00 3.337950138504155007e+01
-4.473684210526315930e+00 -2.894736842105263275e+00 2.839335180055401509e+01
-3.947368421052631859e+00 -2.894736842105263275e+00 2.396121883656510221e+01
-3.421052631578947345e+00 -2.894736842105263275e+00 2.008310249307479012e+01
-2.894736842105263275e+00 -2.894736842105263275e+00 1.675900277008310368e+01
-2.368421052631579204e+00 -2.894736842105263275e+00 1.398891966759002869e+01
-1.842105263157894690e+00 -2.894736842105263275e+00 1.177285318559556870e+01
-1.315789473684210620e+00 -2.894736842105263275e+00 1.011080332409972371e+01
-7.894736842105265495e-01 -2.894736842105263275e+00 9.002770083102493714e+00
-2.631578947368424792e-01 -2.894736842105263275e+00 8.448753462603878717e+00
2.631578947368415911e-01 -2.894736842105263275e+00 8.448753462603878717e+00
7.894736842105256613e-01 -2.894736842105263275e+00 9.002770083102491938e+00
1.315789473684210620e+00 -2.894736842105263275e+00 1.011080332409972371e+01
1.842105263157894690e+00 -2.894736842105263275e+00 1.177285318559556870e+01
2.368421052631578760e+00 -2.894736842105263275e+00 1.398891966759002869e+01
2.894736842105262831e+00 -2.894736842105263275e+00 1.675900277008310013e+01
3.421052631578946901e+00 -2.894736842105263275e+00 2.008310249307479012e+01
3.947368421052631859e+00 -2.894736842105263275e+00 2.396121883656510221e+01
