latitudes,longitudes,elevations
-42.280000450453734,-63.400008367223265,0.0
-42.28498648388558,-63.35204678066052,348.6328125
-42.28497282457173,-63.35203995100361,351.0742188002914
-42.28993154510547,-63.30407835871129,702.1484375
-42.280000450453734,-63.400008367223265,0.0
-42.28993154510547,-63.30407835871129,702.1484375
-42.31924671296938,-63.016226866263125,2868.6523438002914
-42.35716792464012,-62.632329255405814,5896.484375
-42.39377773905021,-62.248349682935924,9083.496093800291
-42.429062496885805,-61.864322291408435,12429.199218800291
-42.463035857460746,-61.480281246296684,15933.59375
-42.4956841614612,-61.096260690155695,19596.19140619971
-42.527021068200995,-60.712301606656546,23416.9921875
-42.55703291836633,-60.32843131442691,27395.5078125
-42.58573337700056,-59.94468396748095,31531.73828119971
-42.613108773330744,-59.56110054376018,35824.70703119971
-42.639172778129854,-59.17770836762183,40274.90234380029
-42.663925379938725,-58.79454841127787,44881.34765619971
-42.687366590216534,-58.41164801054468,49644.04296880029
-42.70949640323368,-58.0290481319046,54562.5
-42.730314818990166,-57.646776105444474,59636.71875
-42.74983550252944,-57.2648660794489,64865.72265619971
-42.768058448121906,-56.88335561703091,70249.51171880029
-42.78498365576752,-56.50227545737622,75787.59765619971
-42.80062478478017,-56.12165633394096,81479.98046880029
-42.81498184661901,-55.74153581556776,87311.03515619971
-42.82805482982486,-55.36192756157044,93259.765625
-42.839857393711554,-54.982858896306276,99299.31640619971
-42.850389544008706,-54.604367377158724,105477.5390625
-42.859651280716264,-54.22648715814195,111806.640625
-42.86765626314813,-53.84924556934278,118306.15234380029
-42.87441815061806,-53.472680162415124,124992.1875
-42.879923283812296,-53.0968250971027,131848.6328125
-42.88419898135846,-52.72171110686166,138861.328125
-42.88724524898613,-52.34736893087771,146021.9726561997
-42.88906207523618,-51.97382588777852,153322.7539061997
-42.8896631308816,-51.601109290462176,160755.3710938003
-42.88906207523618,-51.22924988957355,168311.0351561997
-42.887258908299984,-50.858271577452705,175990.7226561997
-42.884267283657216,-50.488198269358,183804.6875
-42.880100866351306,-50.11905386335907,191750.4882811997
-42.87475966211186,-49.75086910437121,199824.21875
-42.86825731879352,-49.38366789046405,208020.9960938003
-42.860607507169306,-49.01747412543679,216332.5195311997
-42.8518102272392,-48.65231172454782,224746.09375
-42.84187913258746,-48.28820458013719,233234.8632811997
-42.83082788252794,-47.92518685767822,241666.015625
-42.8186701478336,-47.56326538109825,249530.7617188003
-42.80540591704532,-47.202378672025866,256248.046875
-42.791035201622236,-46.84252332709176,261231.9335938003
-42.775571655148596,-46.4834773595278,264041.9921875
-42.75901527762442,-46.12508709059416,264442.8710938003
-42.741352404006285,-45.76711004455194,262391.1132811997
-42.722569386439524,-45.40926618827878,258020.5078125
-42.702652554151136,-45.05130963120732,251661.6210938003
-42.68158824782728,-44.6929740052586,243827.1484375
-42.6593628138837,-44.33411586471903,235105.9570311997
-42.63594892796314,-43.97461227576409,226066.40625
-42.61134658433603,-43.614422248993115,217047.8515625
-42.58554212941812,-43.25355603462106,208108.3984375
-42.5585355632094,-42.892023877133305,199269.53125
-42.53031322066647,-42.529849680329065,190542.96875
-42.50087510751888,-42.16705393317908,181937.0117188003
-42.47022121803706,-41.803660550941736,173456.5429688003
-42.438337892907214,-41.439693431686656,165103.515625
-42.40521147854501,-41.07517989404151,156869.6289061997
-42.37084196349136,-40.7101438475351,148763.1835938003
-42.335229359205414,-40.34461261652468,140791.9921875
-42.29835999491414,-39.978616928736784,132965.3320311997
-42.260247541390534,-39.612184108528666,125291.50390619971
-42.220878327861634,-39.24534489508604,117785.64453119971
-42.18023870647274,-38.8781334366935,110463.8671875
-42.13834232507855,-38.51058046680717,103305.6640625
-42.095175530094785,-38.14271672461277,96293.9453125
-42.050738315791875,-37.77457635839487,89394.53125
-42.005030693629,-37.406203760923454,82591.796875
-41.958052652146954,-37.03759894365766,75922.36328119971
-41.90979053203194,-36.66879263432406,69404.296875
-41.86025800405693,-36.2998121572799,63039.0625
-41.80944139744896,-35.93069165508019,56826.66015619971
-41.757340712207984,-35.56145846354133,50767.578125
-41.703969613377474,-35.19214330466029,44862.79296880029
-41.64931444164354,-34.8227769176228,39112.3046875
-41.59337519127662,-34.45339345644301,33516.6015625
-41.53615186800633,-34.0840202397486,28075.68359380029
-41.47765812541687,-33.71468800672527,22790.52734380029
-41.417880309924016,-33.34542749082915,17661.1328125
-41.3568320808416,-32.976269425516385,12687.988281199709
-41.29451343244003,-32.60724454997268,7871.582031199709
-41.230910711135074,-32.23838701248262,3212.4023438002914
-41.19863123725606,-32.0540299637296,941.8945311997086
-41.19051697458395,-32.00794667605875,378.90625
-41.19050331527013,-32.007950090887206,381.8359375
-41.19863123725606,-32.0540299637296,941.8945311997086
-41.18509380300232,-31.977183506336672,6.8359375
-41.18509380300232,-31.977183506336672,6.8359375
-41.1850391600174,-31.976900052656266,3.417968800291419
-41.184998182075894,-31.97662001380432,0.0
-41.18509380300232,-31.977183506336672,6.8359375
-41.184998182075894,-31.97662001380432,0.0
