latitudes,longitudes,elevations
-42.280000450453734,-63.400008367223265,0.0
-42.34891429699526,-62.71588533903736,5237.470671173649
-42.408452325245776,-62.08863644118187,10474.941349606086
-42.460891610814656,-61.504520200259684,15712.412033120767
-42.50678667659197,-60.960225836124174,20949.882720990212
-42.5479192306831,-60.445001067207265,26187.353411842243
-42.584991521363776,-59.95460315156292,31424.824105112213
-42.61801437636828,-59.48894087995072,36662.294800668984
-42.647903933699986,-59.04255371951986,41899.765497922286
-42.675028495752,-58.61318458902191,47137.236196613405
-42.69965277707364,-58.19923349096264,52374.7068965587
-42.722008567032326,-57.799297210093044,57612.17759760373
-42.74230918390118,-57.41211381988739,62849.64829961599
-42.760739222877234,-57.03658885769812,68087.11900248441
-42.777456340110234,-56.67175702076452,73324.58970611461
-42.79260712933005,-56.31676200610592,78562.06041042575
-42.80633544013317,-55.970459849771714,83799.53111532348
-42.81877283981184,-55.63145441454524,89037.00182070254
-42.83003300604073,-55.29839466187673,94274.47252646639
-42.84021139955201,-54.97014412716109,99511.9432325363
-42.84913630278269,-54.64941767219324,104749.41393907493
-42.85697506932828,-54.335695495729894,109986.88464603873
-42.86384671609157,-54.02879777767243,115224.3553534073
-42.86982260415354,-53.728632862815296,120461.82606116697
-42.87497307610974,-53.434828263611266,125699.29676928939
-42.87917621729045,-53.14787004820728,130936.7674777929
-42.882547750888435,-52.866621452301814,136174.23818660606
-42.88527381781202,-52.589679495377915,141411.7088956488
-42.88739468022266,-52.31670106044929,146649.17960490054
-42.88869726000361,-52.04889544147595,151886.65031441988
-42.88936681371818,-51.78492662399836,157124.12102413364
-42.889538232889876,-51.523915016142354,162361.5917339957
-42.889121859393356,-51.26632133973096,167599.06244402743
-42.888009104160474,-51.012704052837236,172836.53315425292
-42.88647695695069,-50.76163574554528,178074.00386460076
-42.88447113227786,-50.51351355052668,183311.47457508938
-42.88179781651047,-50.26950869045396,188548.94528577098
-42.878772658433675,-50.02760760744673,193786.41599654974
-42.87530170406758,-49.78834905190208,199023.88670745003
-42.87124323742769,-49.552407049222595,204261.35741850018
-42.866884317359265,-49.31806232528841,209498.82812962175
-42.86204077326247,-49.08620359356294,214736.29884085373
-42.856722155026176,-48.85631678187771,219973.76955217205
-42.851127879835005,-48.62740975838832,225211.24026353317
-42.84491799887574,-48.39972621597572,230448.7109749469
-42.83825473806116,-48.169240790543164,235686.18168623679
-42.83115699147436,-47.936070247337106,240923.652397408
-42.82264083667246,-47.68150764181858,246161.12310757893
-42.81261771120148,-47.39858949962573,251398.59381623287
-42.799339480384575,-47.05035146997584,256636.06452070724
-42.75900162924415,-46.124336126044646,261873.5349234541
-42.72643378257845,-45.48256101429554,256636.0647173216
-42.7078573922268,-45.144552639364846,251398.59401216102
-42.692178289358665,-44.87281783535608,246161.12330294383
-42.677571872961096,-44.62778956006115,240923.65259234552
-42.66367592769371,-44.40350313735339,235686.18188079994
-42.64978447846103,-44.18675847819008,230448.71116893942
-42.635895156698,-43.973582490994396,225211.24045692987
-42.621386599976425,-43.76116867679929,219973.76974489103
-42.606639369152674,-43.54829991215984,214736.29903287135
-42.591332751855255,-43.33432293940888,209498.8283208984
-42.57550144631516,-43.118871637689686,204261.35760898754
-42.559329749130434,-42.90246386463879,199023.88689711705
-42.54229366128605,-42.68333396216287,193786.41618536256
-42.524922693673176,-42.46308680045933,188548.94547365615
-42.506854073650466,-42.2404834237041,183311.47476205154
-42.48811771006221,-42.01555413558409,178074.00405054892
-42.46897784837607,-41.78921879008689,172836.53333910808
-42.44882655492949,-41.55934788156939,167599.06262782495
-42.428178207114,-41.32777815404923,162361.59191661899
-42.40694599776892,-41.09421292035623,157124.1212055036
-42.38468412373872,-40.85701187523718,151886.65049455606
-42.361868815760914,-40.61779951258376,146649.17978370262
-42.338281107193026,-40.37575880357467,141411.70907298214
-42.31359980434601,-40.12962679506232,136174.23836245766
-42.288224462750705,-39.880836418186774,130936.76765206247
-42.26198396902963,-39.62870266934701,125699.29694183072
-42.234394513987084,-39.371104907803186,120461.82623187211
-42.20588532320897,-39.10963367219401,115224.35552211129
-42.176387565482834,-38.84402283224412,109986.8848125634
-42.14544346591211,-38.57270757397928,104749.41410331588
-42.113291835344114,-38.29692406682819,99511.94339430971
-42.08009884676275,-38.01762798852377,94274.47268549606
-42.04585994614803,-37.73506545824909,89037.00197686399
-42.01030603358433,-37.44867810072819,83799.53126844825
-41.97332340450642,-37.15736544404274,78562.06056031448
-41.93496495108015,-36.861056380775736,73324.58985247163
-41.89510671689603,-36.55923547972188,68087.11914495472
-41.85362757019584,-36.25147231480273,62849.64843779568
-41.810308598919214,-35.936976360012686,57612.17773105074
-41.764864042253,-35.61468288833918,52374.70702479813
-41.71741175195756,-35.28506453948891,47137.23631902007
-41.66778747616948,-34.94754174815892,41899.7656137662
-41.615806630711724,-34.60145890661782,36662.29490909427
-41.56126899970472,-34.246074421831345,31424.82420507163
-41.50394271782023,-33.88057493827557,26187.353501775186
-41.44356629177358,-33.50402194630468,20949.882799296487
-41.37984187757054,-33.11536066413511,15712.412097742286
-41.31243727664733,-32.71340717331627,10474.94139723773
-41.24097429953681,-32.29679322468911,5237.470697932533
-41.16502670680259,-31.864017517871,0.0
