Frequency,Elevation,Azimuth
3000000.0,0,87
3000000.0,0,88
3000000.0,0,89
3000000.0,0,90
3000000.0,0,91
3000000.0,2,87
3000000.0,2,88
3000000.0,2,89
3000000.0,2,90
3000000.0,2,91
3000000.0,4,87
3000000.0,4,88
3000000.0,4,89
3000000.0,4,90
3000000.0,4,91
3000000.0,6,87
3000000.0,6,88
3000000.0,6,89
3000000.0,6,90
3000000.0,6,91
3000000.0,8,87
3000000.0,8,88
3000000.0,8,89
3000000.0,8,90
3000000.0,8,91
3000000.0,10,87
3000000.0,10,88
3000000.0,10,89
3000000.0,10,90
3000000.0,10,91
3000000.0,12,87
3000000.0,12,88
3000000.0,12,89
3000000.0,12,90
3000000.0,12,91
3000000.0,14,87
3000000.0,14,88
3000000.0,14,89
3000000.0,14,90
3000000.0,14,91
3000000.0,16,87
3000000.0,16,88
3000000.0,16,89
3000000.0,16,90
3000000.0,16,91
3000000.0,18,87
3000000.0,18,88
3000000.0,18,89
3000000.0,18,90
3000000.0,18,91
3000000.0,20,87
3000000.0,20,88
3000000.0,20,89
3000000.0,20,90
3000000.0,20,91
3000000.0,22,87
3000000.0,22,88
3000000.0,22,89
3000000.0,22,90
3000000.0,22,91
3000000.0,24,87
3000000.0,24,88
3000000.0,24,89
3000000.0,24,90
3000000.0,24,91
3000000.0,26,87
3000000.0,26,88
3000000.0,26,89
3000000.0,26,90
3000000.0,26,91
3000000.0,28,87
3000000.0,28,88
3000000.0,28,89
3000000.0,28,90
3000000.0,28,91
3000000.0,30,87
3000000.0,30,88
3000000.0,30,89
3000000.0,30,90
3000000.0,30,91
3000000.0,32,87
3000000.0,32,88
3000000.0,32,89
3000000.0,32,90
3000000.0,32,91
3000000.0,34,87
3000000.0,34,88
3000000.0,34,89
3000000.0,34,90
3000000.0,34,91
3000000.0,36,87
3000000.0,36,88
3000000.0,36,89
3000000.0,36,90
3000000.0,36,91
3000000.0,38,87
3000000.0,38,88
3000000.0,38,89
3000000.0,38,90
3000000.0,38,91
3000000.0,40,87
3000000.0,40,88
3000000.0,40,89
3000000.0,40,90
3000000.0,40,91
4000000.0,0,87
4000000.0,0,88
4000000.0,0,89
4000000.0,0,90
4000000.0,0,91
4000000.0,2,87
4000000.0,2,88
4000000.0,2,89
4000000.0,2,90
4000000.0,2,91
4000000.0,4,87
4000000.0,4,88
4000000.0,4,89
4000000.0,4,90
4000000.0,4,91
4000000.0,6,87
4000000.0,6,88
4000000.0,6,89
4000000.0,6,90
4000000.0,6,91
4000000.0,8,87
4000000.0,8,88
4000000.0,8,89
4000000.0,8,90
4000000.0,8,91
4000000.0,10,87
4000000.0,10,88
4000000.0,10,89
4000000.0,10,90
4000000.0,10,91
4000000.0,12,87
4000000.0,12,88
4000000.0,12,89
4000000.0,12,90
4000000.0,12,91
4000000.0,14,87
4000000.0,14,88
4000000.0,14,89
4000000.0,14,90
4000000.0,14,91
4000000.0,16,87
4000000.0,16,88
4000000.0,16,89
4000000.0,16,90
4000000.0,16,91
4000000.0,18,87
4000000.0,18,88
4000000.0,18,89
4000000.0,18,90
4000000.0,18,91
4000000.0,20,87
4000000.0,20,88
4000000.0,20,89
4000000.0,20,90
4000000.0,20,91
4000000.0,22,87
4000000.0,22,88
4000000.0,22,89
4000000.0,22,90
4000000.0,22,91
4000000.0,24,87
4000000.0,24,88
4000000.0,24,89
4000000.0,24,90
4000000.0,24,91
4000000.0,26,87
4000000.0,26,88
4000000.0,26,89
4000000.0,26,90
4000000.0,26,91
4000000.0,28,87
4000000.0,28,88
4000000.0,28,89
4000000.0,28,90
4000000.0,28,91
4000000.0,30,87
4000000.0,30,88
4000000.0,30,89
4000000.0,30,90
4000000.0,30,91
4000000.0,32,87
4000000.0,32,88
4000000.0,32,89
4000000.0,32,90
4000000.0,32,91
4000000.0,34,87
4000000.0,34,88
4000000.0,34,89
4000000.0,34,90
4000000.0,34,91
4000000.0,36,87
4000000.0,36,88
4000000.0,36,89
4000000.0,36,90
4000000.0,36,91
4000000.0,38,87
4000000.0,38,88
4000000.0,38,89
4000000.0,38,90
4000000.0,38,91
4000000.0,40,87
4000000.0,40,88
4000000.0,40,89
4000000.0,40,90
4000000.0,40,91
5000000.0,0,87
5000000.0,0,88
5000000.0,0,89
5000000.0,0,90
5000000.0,0,91
5000000.0,2,87
5000000.0,2,88
5000000.0,2,89
5000000.0,2,90
5000000.0,2,91
5000000.0,4,87
5000000.0,4,88
5000000.0,4,89
5000000.0,4,90
5000000.0,4,91
5000000.0,6,87
5000000.0,6,88
5000000.0,6,89
5000000.0,6,90
5000000.0,6,91
5000000.0,8,87
5000000.0,8,88
5000000.0,8,89
5000000.0,8,90
5000000.0,8,91
5000000.0,10,87
5000000.0,10,88
5000000.0,10,89
5000000.0,10,90
5000000.0,10,91
5000000.0,12,87
5000000.0,12,88
5000000.0,12,89
5000000.0,12,90
5000000.0,12,91
5000000.0,14,87
5000000.0,14,88
5000000.0,14,89
5000000.0,14,90
5000000.0,14,91
5000000.0,16,87
5000000.0,16,88
5000000.0,16,89
5000000.0,16,90
5000000.0,16,91
5000000.0,18,87
5000000.0,18,88
5000000.0,18,89
5000000.0,18,90
5000000.0,18,91
5000000.0,20,87
5000000.0,20,88
5000000.0,20,89
5000000.0,20,90
5000000.0,20,91
